Method,Robots,Tasks,Candidates,Score,Length
cbba_task_allocation,10,5,50,3.576542837007953,43.0
ssia_task_allocation,10,5,50,3.5765428370079535,445.4
ilp_task_allocation,10,5,50,3.576542837007953,21242.7
jv_task_allocation,10,5,50,3.576542837007953,52.8
rank_assignments_borda,10,5,50,1.6448202959830867,245.3
rank_assignments_approval,10,5,50,0.7138830162085976,165.8
rank_assignments_majority_judgment,10,5,50,0.7138830162085976,429.2
rank_assignments_cumulative_voting,10,5,50,2.4079633544749823,253.8
rank_assignments_condorcet_method,10,5,50,2.4079633544749823,9078.5
rank_assignments_range,10,5,50,2.4079633544749823,62.2
cbba_task_allocation,10,5,50,2.6560253699788583,49.3
ssia_task_allocation,10,5,50,2.6560253699788583,304.5
ilp_task_allocation,10,5,50,2.6560253699788583,20623.4
jv_task_allocation,10,5,50,2.6560253699788583,51.9
rank_assignments_borda,10,5,50,4.365727238167363,251.3
rank_assignments_approval,10,5,50,4.307587703283642,179.2
rank_assignments_majority_judgment,10,5,50,4.028517935841782,374.0
rank_assignments_cumulative_voting,10,5,50,4.427742742043332,287.4
rank_assignments_condorcet_method,10,5,50,4.365727238167363,9449.1
rank_assignments_range,10,5,50,4.427742742043332,71.2
cbba_task_allocation,10,5,50,4.5634016567720135,40.6
ssia_task_allocation,10,5,50,4.5634016567720135,330.2
ilp_task_allocation,10,5,50,4.640921036616975,20552.5
jv_task_allocation,10,5,50,4.640921036616975,66.2
rank_assignments_borda,10,5,50,4.415037002904076,249.6
rank_assignments_approval,10,5,50,2.723957380118435,180.4
rank_assignments_majority_judgment,10,5,50,4.415037002904076,410.1
rank_assignments_cumulative_voting,10,5,50,4.415037002904076,303.8
rank_assignments_condorcet_method,10,5,50,4.415037002904076,9413.9
rank_assignments_range,10,5,50,3.508483091699002,80.0
cbba_task_allocation,10,5,50,4.415037002904076,53.9
ssia_task_allocation,10,5,50,4.415037002904076,323.3
ilp_task_allocation,10,5,50,4.415037002904076,24529.2
jv_task_allocation,10,5,50,4.415037002904076,544.3
rank_assignments_borda,10,5,50,2.329860062418202,252.4
rank_assignments_approval,10,5,50,2.341487969394946,171.4
rank_assignments_majority_judgment,10,5,50,2.434511225208899,542.8
rank_assignments_cumulative_voting,10,5,50,2.605053860867814,296.4
rank_assignments_condorcet_method,10,5,50,2.5120306050538606,9025.0
rank_assignments_range,10,5,50,2.605053860867814,69.5
cbba_task_allocation,10,5,50,3.6137892536712393,47.2
