Method,Robots,Tasks,Candidates,Score,Length
ssia_task_allocation,10,5,50,4.509354817405336,8.0
ilp_task_allocation,10,5,50,4.5093548174053355,19559.4
jv_task_allocation,10,5,50,4.5093548174053355,85.8
rank_assignments_borda,10,5,50,2.580731459665293,250.0
rank_assignments_approval,10,5,50,1.6274874755044646,169.0
rank_assignments_majority_judgment,10,5,50,0.9115905904346472,445.3
rank_assignments_cumulative_voting,10,5,50,3.8018198950394426,267.5
rank_assignments_condorcet_method,10,5,50,3.580731459665293,8905.7
rank_assignments_range,10,5,50,3.6707047624192306,50.0
cbba_task_allocation,10,5,50,4.705581399641283,35.0
ssia_task_allocation,10,5,50,4.705581399641283,7.8
ilp_task_allocation,10,5,50,4.705581399641284,23343.0
jv_task_allocation,10,5,50,4.705581399641283,88.4
rank_assignments_borda,10,5,50,4.730976129650603,249.4
rank_assignments_approval,10,5,50,4.730976129650603,171.7
rank_assignments_majority_judgment,10,5,50,4.730976129650603,355.9
rank_assignments_cumulative_voting,10,5,50,4.730976129650603,275.3
rank_assignments_condorcet_method,10,5,50,4.730976129650603,9405.8
rank_assignments_range,10,5,50,4.730976129650603,49.9
cbba_task_allocation,10,5,50,4.730976129650603,41.1
ssia_task_allocation,10,5,50,4.730976129650603,7.9
ilp_task_allocation,10,5,50,4.730976129650603,19446.6
jv_task_allocation,10,5,50,4.730976129650603,84.6
rank_assignments_borda,10,5,50,2.5129142566117357,242.6
rank_assignments_approval,10,5,50,1.7826221397649968,174.8
rank_assignments_majority_judgment,10,5,50,1.6907854050711193,356.3
rank_assignments_cumulative_voting,10,5,50,2.5129142566117357,273.4
rank_assignments_condorcet_method,10,5,50,2.5945469096729603,8944.4
rank_assignments_range,10,5,50,2.686383644366838,49.1
cbba_task_allocation,10,5,50,4.72719997089745,54.1
ssia_task_allocation,10,5,50,4.72719997089745,8.0
ilp_task_allocation,10,5,50,4.72719997089745,22754.3
jv_task_allocation,10,5,50,4.72719997089745,84.4
rank_assignments_borda,10,5,50,3.810239885427855,239.3
rank_assignments_approval,10,5,50,2.0,168.9
rank_assignments_majority_judgment,10,5,50,3.810239885427855,358.8
