Robots,Tasks,Candidates,Voting_Method,Suitability_Method,Score_Voting,Time_Voting,Score_CBBA,Time_CBBA,Score_SSIA,Time_SSIA,Score_ILP,Time_ILP
5,5,50,rank_assignments_borda,evaluate_suitability_distance,4.882206416,703.5,4.882206416,153.9,3.877193149,21.7,4.882206416,70219
5,5,50,rank_assignments_borda,evaluate_suitability_distance,3.162123762,690.8,3.085966889,146.7,2.782779266,20.7,3.162123762,66689.8
5,5,50,rank_assignments_borda,evaluate_suitability_distance,4.629539523,687.6,6.086588262,102.3,4.972880465,20.4,6.104541866,72781.3
5,5,50,rank_assignments_borda,evaluate_suitability_distance,17.06443628,623.9,17.06443628,109.9,14.67908027,18.7,17.06443628,70835.3
5,5,50,rank_assignments_borda,evaluate_suitability_distance,10.75881731,816.8,10.70613593,124.7,9.295492243,23,10.75881731,78099
5,5,50,rank_assignments_borda,evaluate_suitability_distance,2.212836226,699.6,2.265948452,96.4,2.265948452,21,2.435595033,72607
5,5,50,rank_assignments_borda,evaluate_suitability_distance,10.1238682,756.3,13.17362504,154.5,7.620346556,21.6,13.17362504,76566
5,5,50,rank_assignments_borda,evaluate_suitability_distance,3.491022611,738.1,6.663110925,115.2,6.663110925,22,6.663110925,71807.2
5,5,50,rank_assignments_borda,evaluate_suitability_distance,4.435068642,690.4,4.715701569,119.8,4.490844364,9.5,4.715701569,70195.7
5,5,50,rank_assignments_borda,evaluate_suitability_distance,3.197031484,786.4,3.862737894,178.4,1.994608141,23.3,3.917531015,71046.6
5,5,50,rank_assignments_borda,evaluate_suitability_distance,6.477781751,700.3,7.478140986,100.7,3.267984838,22.6,7.478140986,75591.8
5,5,50,rank_assignments_borda,evaluate_suitability_distance,4.142937844,689.1,6.989013021,116.2,5.69794528,20.9,6.989013021,72558.7
5,5,50,rank_assignments_borda,evaluate_suitability_distance,4.797952478,751.1,7.031491249,168.6,6.845263246,22.5,7.041821237,77133.1
5,5,50,rank_assignments_borda,evaluate_suitability_distance,7.629859753,683.9,7.639792421,102,7.629859753,20.5,7.850677604,69219.3
5,5,50,rank_assignments_borda,evaluate_suitability_distance,2.597606633,741.3,2.931365058,156.9,2.842570026,20.8,2.939245982,75089.2
5,5,50,rank_assignments_borda,evaluate_suitability_distance,2.812151863,981.2,2.645783514,285.2,2.662923773,42.9,2.812151863,75919.6
5,5,50,rank_assignments_borda,evaluate_suitability_priority,65.32618517,746.8,63.32618517,107.7,63.07618517,22.7,70.82618517,71459.3
5,5,50,rank_assignments_borda,evaluate_suitability_priority,37.91908493,593.1,47.16908493,150.2,43.66908493,22.3,47.66908493,71274.7
5,5,50,rank_assignments_borda,evaluate_suitability_priority,64.89292709,949.5,77.64292709,296.9,65.89292709,29.1,78.89292709,75357.3
5,5,50,rank_assignments_borda,evaluate_suitability_priority,79.8112329,715.5,79.3112329,107.7,74.5612329,21.4,81.8112329,69843.1
5,5,50,rank_assignments_borda,evaluate_suitability_priority,61.51549551,645.9,69.26549551,120.9,64.51549551,19,69.26549551,71226.5
5,5,50,rank_assignments_borda,evaluate_suitability_priority,70.71116346,702.3,82.21116346,124.9,81.71116346,21.7,82.21116346,81556.1
5,5,50,rank_assignments_borda,evaluate_suitability_priority,71.75614984,734.7,78.75614984,210.4,73.25614984,22.7,80.75614984,71984
5,5,50,rank_assignments_borda,evaluate_suitability_priority,59.15148874,735.7,75.15148874,137.9,68.15148874,21.9,75.15148874,70454.8
5,5,50,rank_assignments_borda,evaluate_suitability_priority,50.30731578,815.6,52.80731578,191.9,51.30731578,26.5,53.30731578,69565.6
5,5,50,rank_assignments_borda,evaluate_suitability_priority,40.87404699,679.6,46.37404699,108.1,44.87404699,20.6,47.12404699,68935
5,5,50,rank_assignments_borda,evaluate_suitability_priority,80.55654661,708.8,81.30654661,138.9,82.80654661,21,83.55654661,72975.9
5,5,50,rank_assignments_borda,evaluate_suitability_priority,52.65399601,607.3,58.40399601,155.7,55.15399601,22.2,58.40399601,72689.8
5,5,50,rank_assignments_borda,evaluate_suitability_priority,61.57292257,703.9,73.32292257,139.6,64.82292257,22.8,75.32292257,72383.9
5,5,50,rank_assignments_borda,evaluate_suitability_priority,61.30543331,693.4,60.80543331,96.9,51.05543331,21,64.05543331,72102
5,5,50,rank_assignments_borda,evaluate_suitability_priority,79.55701916,740.6,80.55701916,135.9,70.30701916,21.7,82.05701916,75834
5,5,50,rank_assignments_borda,evaluate_suitability_priority,62.84354766,695,66.59354766,130.6,66.59354766,20.2,67.59354766,71258
5,5,50,rank_assignments_borda,evaluate_suitability_priority,55.68409406,698.9,63.93409406,174,51.18409406,22.1,63.93409406,72309.4
5,5,50,rank_assignments_borda,evaluate_suitability_priority,87.49694918,746.8,94.74694918,186.7,89.74694918,22.5,95.24694918,72015.3
5,5,50,rank_assignments_borda,evaluate_suitability_priority,54.11680733,658.6,56.61680733,102.6,55.86680733,19.6,58.61680733,74335.9
5,5,50,rank_assignments_borda,evaluate_suitability_priority,63.08142848,738.8,62.08142848,182.9,62.83142848,22.7,64.58142848,73047
5,5,50,rank_assignments_approval,evaluate_suitability_loose,57.76329417,709,59.26329417,198.9,58.26329417,22,63.26329417,77140.1
5,5,50,rank_assignments_approval,evaluate_suitability_loose,53.62200658,658,57.12200658,133.7,50.12200658,22.2,57.62200658,73921.4
5,5,50,rank_assignments_approval,evaluate_suitability_loose,71.78887424,708.2,72.28887424,163.6,67.78887424,24.1,73.28887424,69126.2
