Method,Robots,Tasks,Candidates,Score,Task Normalized Score,Score Density,Length
rank_assignments_majority_judgment,10,5,25,3.431803006990977,0.8579507517477443,0.06863606013981954,196.6
rank_assignments_cumulative_voting,10,5,25,3.2957485852222694,0.8239371463055674,0.0659149717044454,182.7
rank_assignments_condorcet_method,10,5,25,3.431803006990977,0.8579507517477443,0.06863606013981954,2242.7
rank_assignments_range,10,5,25,3.431803006990977,0.8579507517477443,0.06863606013981954,26.5
cbba_task_allocation,10,5,,3.431803006990977,0.8579507517477443,0.06863606013981954,31.9
ssia_task_allocation,10,5,,3.431803006990977,0.8579507517477443,0.06863606013981954,7.3
ilp_task_allocation,10,5,,3.431803006990977,0.8579507517477443,0.06863606013981954,22280.3
jv_task_allocation,10,5,,3.431803006990977,0.8579507517477443,0.06863606013981954,51.1
rank_assignments_borda,10,5,25,4.570913770913771,0.9141827541827542,0.09141827541827542,166.2
rank_assignments_approval,10,5,25,4.400845743702886,0.8801691487405773,0.08801691487405773,79.4
rank_assignments_majority_judgment,10,5,25,4.190579819151248,0.8381159638302496,0.08381159638302496,187.1
rank_assignments_cumulative_voting,10,5,25,4.400845743702886,0.8801691487405773,0.08801691487405773,157.5
rank_assignments_condorcet_method,10,5,25,4.570913770913771,0.9141827541827542,0.09141827541827542,1945.4
rank_assignments_range,10,5,25,4.570913770913771,0.9141827541827542,0.09141827541827542,24.0
cbba_task_allocation,10,5,,4.570913770913771,0.9141827541827542,0.09141827541827542,47.0
ssia_task_allocation,10,5,,4.570913770913771,0.9141827541827542,0.09141827541827542,7.6
ilp_task_allocation,10,5,,4.570913770913771,0.9141827541827542,0.09141827541827542,19926.7
jv_task_allocation,10,5,,4.570913770913771,0.9141827541827542,0.09141827541827542,52.9
rank_assignments_borda,10,5,50,4.668759297330726,0.9337518594661451,0.09337518594661452,240.0
rank_assignments_approval,10,5,50,4.668759297330726,0.9337518594661451,0.09337518594661452,156.2
rank_assignments_majority_judgment,10,5,50,4.362636848351134,0.8725273696702269,0.08725273696702268,283.6
rank_assignments_cumulative_voting,10,5,50,4.532704875562018,0.9065409751124036,0.09065409751124037,283.2
rank_assignments_condorcet_method,10,5,50,4.403453174881746,0.8806906349763493,0.08806906349763492,6348.0
rank_assignments_range,10,5,50,4.668759297330726,0.9337518594661451,0.09337518594661452,44.6
cbba_task_allocation,10,5,,4.668759297330726,0.9337518594661451,0.09337518594661452,53.0
ssia_task_allocation,10,5,,4.668759297330726,0.9337518594661451,0.09337518594661452,8.0
ilp_task_allocation,10,5,,4.668759297330726,0.9337518594661451,0.09337518594661452,26094.1
jv_task_allocation,10,5,,4.668759297330726,0.9337518594661451,0.09337518594661452,57.3
rank_assignments_borda,10,5,50,3.558096276141389,0.8895240690353472,0.07116192552282778,270.8
rank_assignments_approval,10,5,50,3.493470425801253,0.8733676064503133,0.06986940851602506,181.2
rank_assignments_majority_judgment,10,5,50,3.5580962761413892,0.8895240690353473,0.07116192552282778,352.9
rank_assignments_cumulative_voting,10,5,50,3.364898997229824,0.841224749307456,0.06729797994459648,483.7
rank_assignments_condorcet_method,10,5,50,3.558096276141389,0.8895240690353472,0.07116192552282778,9091.2
rank_assignments_range,10,5,50,3.5580962761413892,0.8895240690353473,0.07116192552282778,50.8
cbba_task_allocation,10,5,,3.5580962761413892,0.8895240690353473,0.07116192552282778,78.1
ssia_task_allocation,10,5,,3.426123487025743,0.8565308717564357,0.06852246974051486,7.4
ilp_task_allocation,10,5,,3.558096276141389,0.8895240690353472,0.07116192552282778,21273.1
jv_task_allocation,10,5,,3.558096276141389,0.8895240690353472,0.07116192552282778,50.9
rank_assignments_borda,10,5,50,4.515311004784689,0.9030622009569378,0.09030622009569378,103.8
rank_assignments_approval,10,5,50,4.515311004784689,0.9030622009569378,0.09030622009569378,76.0
rank_assignments_majority_judgment,10,5,50,4.257426032614003,0.8514852065228006,0.08514852065228005,147.9
rank_assignments_cumulative_voting,10,5,50,4.515311004784689,0.9030622009569378,0.09030622009569378,140.4
rank_assignments_condorcet_method,10,5,50,4.515311004784689,0.9030622009569378,0.09030622009569378,1470.9
rank_assignments_range,10,5,50,4.515311004784689,0.9030622009569378,0.09030622009569378,24.8
cbba_task_allocation,10,5,,4.515311004784689,0.9030622009569378,0.09030622009569378,55.4
ssia_task_allocation,10,5,,4.51531100478469,0.9030622009569379,0.09030622009569379,7.3
ilp_task_allocation,10,5,,4.515311004784689,0.9030622009569378,0.09030622009569378,23661.1
jv_task_allocation,10,5,,4.515311004784689,0.9030622009569378,0.09030622009569378,50.9
rank_assignments_borda,10,5,50,4.569768577287375,0.9139537154574751,0.0913953715457475,278.5
rank_assignments_approval,10,5,50,4.4881359242261505,0.8976271848452301,0.08976271848452301,187.7
rank_assignments_majority_judgment,10,5,50,4.32517983269863,0.865035966539726,0.08650359665397261,339.4
rank_assignments_cumulative_voting,10,5,50,4.352081502457443,0.8704163004914885,0.08704163004914886,333.5
rank_assignments_condorcet_method,10,5,50,4.515656023174821,0.9031312046349642,0.09031312046349642,9328.1
rank_assignments_range,10,5,50,4.583374019464245,0.916674803892849,0.0916674803892849,65.4
cbba_task_allocation,10,5,,4.583374019464245,0.916674803892849,0.0916674803892849,52.5
ssia_task_allocation,10,5,,4.583374019464245,0.916674803892849,0.0916674803892849,7.7
ilp_task_allocation,10,5,,4.583374019464245,0.916674803892849,0.0916674803892849,22687.2
jv_task_allocation,10,5,,4.583374019464245,0.916674803892849,0.0916674803892849,54.9
rank_assignments_borda,10,5,50,4.489105617677046,0.8978211235354092,0.08978211235354092,249.4
rank_assignments_approval,10,5,50,4.489105617677047,0.8978211235354093,0.08978211235354093,156.3
rank_assignments_majority_judgment,10,5,50,4.5432181717896,0.90864363435792,0.090864363435792,279.7
rank_assignments_cumulative_voting,10,5,50,4.373150144578716,0.8746300289157432,0.08746300289157433,262.5
rank_assignments_condorcet_method,10,5,50,4.489105617677046,0.8978211235354092,0.08978211235354092,7154.0
rank_assignments_range,10,5,50,4.5432181717896,0.90864363435792,0.090864363435792,57.7
cbba_task_allocation,10,5,,4.5432181717896,0.90864363435792,0.090864363435792,40.7
ssia_task_allocation,10,5,,4.5432181717896,0.90864363435792,0.090864363435792,7.8
ilp_task_allocation,10,5,,4.5432181717896,0.90864363435792,0.090864363435792,22548.0
jv_task_allocation,10,5,,4.5432181717896,0.90864363435792,0.090864363435792,52.4
rank_assignments_borda,10,5,100,4.536487322201608,0.9072974644403216,0.09072974644403216,270.0
rank_assignments_approval,10,5,100,4.342918985776129,0.8685837971552258,0.08685837971552259,324.1
rank_assignments_majority_judgment,10,5,100,4.597711811997526,0.9195423623995053,0.09195423623995053,335.4
rank_assignments_cumulative_voting,10,5,100,4.393939393939394,0.8787878787878787,0.08787878787878788,346.3
rank_assignments_condorcet_method,10,5,100,4.536487322201608,0.9072974644403216,0.09072974644403216,9313.6
rank_assignments_range,10,5,100,4.597711811997526,0.9195423623995053,0.09195423623995053,52.0
cbba_task_allocation,10,5,,4.597711811997526,0.9195423623995053,0.09195423623995053,46.0
ssia_task_allocation,10,5,,4.597711811997526,0.9195423623995053,0.09195423623995053,8.6
ilp_task_allocation,10,5,,4.597711811997526,0.9195423623995053,0.09195423623995053,23304.5
jv_task_allocation,10,5,,4.5977118119975255,0.9195423623995052,0.09195423623995051,53.6
rank_assignments_borda,10,5,100,4.139950261754773,0.8279900523509547,0.08279900523509547,397.6
rank_assignments_approval,10,5,100,4.075324411414637,0.8150648822829274,0.08150648822829273,290.9
rank_assignments_majority_judgment,10,5,100,4.221582914815998,0.8443165829631996,0.08443165829631996,511.8
rank_assignments_cumulative_voting,10,5,100,3.959678152911236,0.7919356305822471,0.07919356305822473,513.7
rank_assignments_condorcet_method,10,5,100,4.139950261754774,0.8279900523509548,0.08279900523509548,22995.7
rank_assignments_range,10,5,100,4.221582914815998,0.8443165829631996,0.08443165829631996,83.2
cbba_task_allocation,10,5,,4.221582914815998,0.8443165829631996,0.08443165829631996,52.3
ssia_task_allocation,10,5,,4.221582914815998,0.8443165829631996,0.08443165829631996,7.2
ilp_task_allocation,10,5,,4.221582914815998,0.8443165829631996,0.08443165829631996,26704.3
jv_task_allocation,10,5,,4.221582914815998,0.8443165829631996,0.08443165829631996,50.5
rank_assignments_borda,10,5,100,4.629736415450701,0.9259472830901402,0.09259472830901401,533.7
rank_assignments_approval,10,5,100,4.683848969563256,0.9367697939126511,0.09367697939126511,356.2
rank_assignments_majority_judgment,10,5,100,4.350824850824851,0.8701649701649702,0.08701649701649701,707.2
rank_assignments_cumulative_voting,10,5,100,4.459668388239817,0.8919336776479634,0.08919336776479633,657.8
rank_assignments_condorcet_method,10,5,100,4.4287469287469285,0.8857493857493857,0.08857493857493857,37829.9
rank_assignments_range,10,5,100,4.683848969563256,0.9367697939126511,0.09367697939126511,99.6
cbba_task_allocation,10,5,,4.683848969563256,0.9367697939126511,0.09367697939126511,54.0
ssia_task_allocation,10,5,,4.683848969563256,0.9367697939126511,0.09367697939126511,7.3
ilp_task_allocation,10,5,,4.683848969563256,0.9367697939126511,0.09367697939126511,22864.4
jv_task_allocation,10,5,,4.683848969563256,0.9367697939126511,0.09367697939126511,70.5
rank_assignments_borda,10,5,100,1.9118738404452689,0.9559369202226344,0.03823747680890538,547.3
rank_assignments_approval,10,5,100,1.9118738404452689,0.9559369202226344,0.03823747680890538,356.9
rank_assignments_majority_judgment,10,5,100,1.9118738404452689,0.9559369202226344,0.03823747680890538,655.3
rank_assignments_cumulative_voting,10,5,100,1.7081014223871367,0.8540507111935683,0.034162028447742736,609.8
rank_assignments_condorcet_method,10,5,100,1.9118738404452689,0.9559369202226344,0.03823747680890538,37159.8
rank_assignments_range,10,5,100,1.9118738404452689,0.9559369202226344,0.03823747680890538,98.1
cbba_task_allocation,10,5,,1.9118738404452689,0.9559369202226344,0.03823747680890538,38.1
ssia_task_allocation,10,5,,1.9118738404452689,0.9559369202226344,0.03823747680890538,7.3
ilp_task_allocation,10,5,,1.9118738404452689,0.9559369202226344,0.03823747680890538,20906.6
jv_task_allocation,10,5,,1.9118738404452689,0.9559369202226344,0.03823747680890538,53.7
rank_assignments_borda,10,5,100,3.7421150278293136,0.9355287569573284,0.07484230055658628,255.7
rank_assignments_approval,10,5,100,3.7421150278293136,0.9355287569573284,0.07484230055658628,165.7
rank_assignments_majority_judgment,10,5,100,4.0,1.0,0.08,353.9
rank_assignments_cumulative_voting,10,5,100,4.0,1.0,0.08,262.8
rank_assignments_condorcet_method,10,5,100,3.6101422387136672,0.9025355596784168,0.07220284477427334,8749.8
rank_assignments_range,10,5,100,4.0,1.0,0.08,47.9
cbba_task_allocation,10,5,,4.0,1.0,0.08,49.2
ssia_task_allocation,10,5,,3.8680272108843536,0.9670068027210884,0.07736054421768707,7.1
ilp_task_allocation,10,5,,4.0,1.0,0.08,22569.2
jv_task_allocation,10,5,,4.0,1.0,0.08,61.3
rank_assignments_borda,10,7,10,5.334189105617677,0.8890315176029461,0.07620270150882395,88.5
rank_assignments_approval,10,7,10,5.34439318725033,0.890732197875055,0.07634847410357615,47.0
rank_assignments_majority_judgment,10,7,10,5.443032643032644,0.9071721071721073,0.07775760918618062,108.8
rank_assignments_cumulative_voting,10,7,10,5.280076551505123,0.8800127585841871,0.07542966502150175,86.4
rank_assignments_condorcet_method,10,7,10,5.551876180447609,0.9253126967412681,0.07931251686353727,434.2
rank_assignments_range,10,7,10,5.605988734560163,0.9343314557600272,0.08008555335085947,15.0
cbba_task_allocation,10,7,,5.605988734560163,0.9343314557600272,0.08008555335085947,61.5
ssia_task_allocation,10,7,,5.605988734560163,0.9343314557600272,0.08008555335085947,9.1
ilp_task_allocation,10,7,,5.605988734560163,0.9343314557600272,0.08008555335085947,21542.8
jv_task_allocation,10,7,,5.605988734560163,0.9343314557600272,0.08008555335085947,53.7
rank_assignments_borda,10,7,10,6.260553982358494,0.894364854622642,0.0894364854622642,68.6
rank_assignments_approval,10,7,10,6.260553982358494,0.894364854622642,0.0894364854622642,48.6
rank_assignments_majority_judgment,10,7,10,6.260553982358495,0.8943648546226421,0.08943648546226421,111.0
rank_assignments_cumulative_voting,10,7,10,6.382693747355402,0.9118133924793431,0.09118133924793431,160.1
rank_assignments_condorcet_method,10,7,10,6.382693747355402,0.9118133924793431,0.09118133924793431,464.8
rank_assignments_range,10,7,10,6.382693747355402,0.9118133924793431,0.09118133924793431,22.0
cbba_task_allocation,10,7,,6.382693747355402,0.9118133924793431,0.09118133924793431,50.0
ssia_task_allocation,10,7,,5.3421866354197185,0.8903644392366198,0.0763169519345674,9.3
ilp_task_allocation,10,7,,6.382693747355402,0.9118133924793431,0.09118133924793431,23932.6
jv_task_allocation,10,7,,6.382693747355402,0.9118133924793431,0.09118133924793431,52.4
rank_assignments_borda,10,7,10,5.259085762845161,0.8765142938075269,0.07512979661207372,77.1
rank_assignments_approval,10,7,10,5.575412293457406,0.929235382242901,0.07964874704939151,51.9
rank_assignments_majority_judgment,10,7,10,5.341027630501315,0.8901712717502192,0.07630039472144735,180.9
rank_assignments_cumulative_voting,10,7,10,5.371330660804345,0.8952217768007241,0.07673329515434779,93.4
rank_assignments_condorcet_method,10,7,10,5.32031025264108,0.88671837544018,0.07600443218058685,396.0
rank_assignments_range,10,7,10,5.575412293457406,0.929235382242901,0.07964874704939151,14.8
cbba_task_allocation,10,7,,5.575412293457406,0.929235382242901,0.07964874704939151,51.3
ssia_task_allocation,10,7,,4.589017735634277,0.9178035471268554,0.06555739622334682,9.0
ilp_task_allocation,10,7,,5.575412293457406,0.929235382242901,0.07964874704939151,24676.7
jv_task_allocation,10,7,,5.575412293457406,0.929235382242901,0.07964874704939151,53.0
rank_assignments_borda,10,7,10,6.27752498128438,0.8967892830406257,0.08967892830406257,154.0
rank_assignments_approval,10,7,10,6.42378348468574,0.9176833549551057,0.09176833549551057,48.8
rank_assignments_majority_judgment,10,7,10,6.21970185203268,0.8885288360046685,0.08885288360046685,106.3
rank_assignments_cumulative_voting,10,7,10,6.399973960876218,0.9142819944108883,0.09142819944108882,87.9
rank_assignments_condorcet_method,10,7,10,6.314939947270775,0.9021342781815392,0.09021342781815392,442.5
rank_assignments_range,10,7,10,6.461198450672136,0.9230283500960194,0.09230283500960194,16.0
cbba_task_allocation,10,7,,6.461198450672136,0.9230283500960194,0.09230283500960194,49.4
ssia_task_allocation,10,7,,6.461198450672135,0.9230283500960192,0.09230283500960193,9.8
ilp_task_allocation,10,7,,6.461198450672135,0.9230283500960192,0.09230283500960193,21595.8
jv_task_allocation,10,7,,6.461198450672136,0.9230283500960194,0.09230283500960194,58.4
rank_assignments_borda,10,7,10,6.082797639940497,0.868971091420071,0.0868971091420071,86.6
rank_assignments_approval,10,7,10,6.082797639940497,0.868971091420071,0.0868971091420071,49.6
rank_assignments_majority_judgment,10,7,10,6.082797639940497,0.868971091420071,0.0868971091420071,110.6
rank_assignments_cumulative_voting,10,7,10,5.8174915174915185,0.8310702167845027,0.08310702167845026,83.7
rank_assignments_condorcet_method,10,7,10,6.082797639940497,0.868971091420071,0.0868971091420071,426.2
rank_assignments_range,10,7,10,6.082797639940498,0.8689710914200711,0.08689710914200711,15.8
cbba_task_allocation,10,7,,6.082797639940498,0.8689710914200711,0.08689710914200711,44.2
ssia_task_allocation,10,7,,6.082797639940497,0.868971091420071,0.0868971091420071,8.8
ilp_task_allocation,10,7,,6.082797639940497,0.868971091420071,0.0868971091420071,21891.8
jv_task_allocation,10,7,,6.082797639940498,0.8689710914200711,0.08689710914200711,49.2
rank_assignments_borda,10,7,25,2.689955408000521,0.8966518026668403,0.03842793440000744,158.0
rank_assignments_approval,10,7,25,2.689955408000521,0.8966518026668403,0.03842793440000744,120.9
rank_assignments_majority_judgment,10,7,25,2.7035608501773916,0.9011869500591305,0.038622297859677024,203.3
rank_assignments_cumulative_voting,10,7,25,2.689955408000521,0.8966518026668403,0.03842793440000744,195.7
rank_assignments_condorcet_method,10,7,25,2.536894183510725,0.845631394503575,0.036241345478724644,2653.9
rank_assignments_range,10,7,25,2.7035608501773916,0.9011869500591305,0.038622297859677024,36.5
cbba_task_allocation,10,7,,2.689955408000521,0.8966518026668403,0.03842793440000744,49.0
ssia_task_allocation,10,7,,2.689955408000521,0.8966518026668403,0.03842793440000744,10.0
ilp_task_allocation,10,7,,2.7035608501773916,0.9011869500591305,0.038622297859677024,25549.7
jv_task_allocation,10,7,,2.7035608501773916,0.9011869500591305,0.038622297859677024,90.7
rank_assignments_borda,10,7,25,6.1395594109879825,0.8770799158554261,0.08770799158554261,174.2
rank_assignments_approval,10,7,25,5.87796386367815,0.8397091233825928,0.08397091233825928,146.6
rank_assignments_majority_judgment,10,7,25,6.12935532935533,0.8756221899079043,0.08756221899079043,295.7
rank_assignments_cumulative_voting,10,7,25,6.091940363368935,0.8702771947669907,0.08702771947669907,194.6
rank_assignments_condorcet_method,10,7,25,6.149763492620635,0.8785376418029479,0.08785376418029478,2774.8
rank_assignments_range,10,7,25,6.149763492620636,0.878537641802948,0.0878537641802948,34.8
cbba_task_allocation,10,7,,6.149763492620635,0.8785376418029479,0.08785376418029478,42.8
ssia_task_allocation,10,7,,6.149763492620635,0.8785376418029479,0.08785376418029478,9.3
ilp_task_allocation,10,7,,6.149763492620635,0.8785376418029479,0.08785376418029478,24535.0
jv_task_allocation,10,7,,6.149763492620635,0.8785376418029479,0.08785376418029478,56.5
rank_assignments_borda,10,7,25,6.25852917657429,0.8940755966534699,0.089407559665347,154.4
rank_assignments_approval,10,7,25,6.326556387458643,0.903793769636949,0.0903793769636949,112.3
rank_assignments_majority_judgment,10,7,25,6.25852917657429,0.8940755966534699,0.089407559665347,242.0
rank_assignments_cumulative_voting,10,7,25,6.25852917657429,0.8940755966534699,0.089407559665347,185.1
rank_assignments_condorcet_method,10,7,25,6.2585291765742905,0.89407559665347,0.08940755966534701,2688.1
rank_assignments_range,10,7,25,6.326556387458644,0.9037937696369491,0.09037937696369491,37.7
cbba_task_allocation,10,7,,6.326556387458643,0.903793769636949,0.0903793769636949,42.0
ssia_task_allocation,10,7,,5.380668941571197,0.8967781569285328,0.07686669916530281,8.9
ilp_task_allocation,10,7,,6.326556387458643,0.903793769636949,0.0903793769636949,28180.3
jv_task_allocation,10,7,,6.326556387458643,0.903793769636949,0.0903793769636949,54.3
rank_assignments_borda,10,7,25,5.013744874647131,0.8356241457745218,0.0716249267806733,161.3
rank_assignments_approval,10,7,25,4.976329908660737,0.8293883181101228,0.07109042726658195,112.1
rank_assignments_majority_judgment,10,7,25,4.986533990293389,0.8310889983822315,0.07123619986133413,205.5
rank_assignments_cumulative_voting,10,7,25,4.840275486892028,0.8067125811486714,0.06914679266988612,196.4
rank_assignments_condorcet_method,10,7,25,4.884493173966859,0.8140821956611431,0.06977847391381227,2669.5
rank_assignments_range,10,7,25,5.013744874647131,0.8356241457745218,0.0716249267806733,34.5
cbba_task_allocation,10,7,,4.799459160361416,0.799909860060236,0.06856370229087738,86.8
ssia_task_allocation,10,7,,4.857282289613116,0.8095470482688527,0.06938974699447309,9.1
ilp_task_allocation,10,7,,5.013744874647131,0.8356241457745218,0.0716249267806733,31632.4
jv_task_allocation,10,7,,5.013744874647131,0.8356241457745218,0.0716249267806733,54.9
rank_assignments_borda,10,7,25,6.404540308299707,0.9149343297571011,0.09149343297571011,185.0
rank_assignments_approval,10,7,25,6.404540308299707,0.9149343297571011,0.09149343297571011,110.4
rank_assignments_majority_judgment,10,7,25,6.404540308299707,0.9149343297571011,0.09149343297571011,203.3
rank_assignments_cumulative_voting,10,7,25,6.210662757279298,0.8872375367541855,0.08872375367541854,190.6
rank_assignments_condorcet_method,10,7,25,6.404540308299707,0.9149343297571011,0.09149343297571011,2680.7
rank_assignments_range,10,7,25,6.404540308299707,0.9149343297571011,0.09149343297571011,45.0
cbba_task_allocation,10,7,,6.404540308299707,0.9149343297571011,0.09149343297571011,56.2
ssia_task_allocation,10,7,,6.404540308299707,0.9149343297571011,0.09149343297571011,9.4
ilp_task_allocation,10,7,,6.404540308299707,0.9149343297571011,0.09149343297571011,25773.6
jv_task_allocation,10,7,,6.404540308299707,0.9149343297571011,0.09149343297571011,62.8
